Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Technical Rating 4 hours,Industry
VEL,"Velocity Financial, Inc.",18.89,USD,-0.5265929436545439,48109,0.6897733349965087,625539407,USD,10.406566769501984,1.8152,USD,45.5770310369717,0,Finance,Buy,Strong sell,Finance/Rental/Leasing
BIRDF,Bird Construction Inc.,17.02,USD,2.160864345738292,9536,0.7832314869570931,942615802.5010198,USD,13.656861164722518,1.2462600149999998,USD,45.401754448680386,2.3876,Industrial services,Buy,Sell,Engineering & construction
APA,APA Corporation,23.68,USD,0.08453085376162119,4305972,0.8059685786632975,8760355699,USD,3.352255836011268,7.0639,USD,44.909430323917384,4.22297,Energy minerals,Neutral,Buy,Integrated oil
PVH,PVH Corp.,103.81,USD,-1.2837580829212576,870644,1.4537348796087504,5775282126,USD,8.450486385282266,12.2845,USD,44.87463735641672,0.144495,Consumer non-durables,Buy,Sell,Apparel/Footwear
HLTOY,Hellenic Telecommunications Organization S.A.,7.61,USD,-0.846905537459277,1451,1.0201068616422946,6263774204.86671,USD,10.59445913963525,0.7183,USD,44.701853344077364,4.31085,Communications,Buy,Neutral,Wireless telecommunications
MITEF,Mitsubishi Estate Co. Ltd.,14,USD,3.3973412112260037,680,0.6828680457923278,17197957519.53285,USD,14.444397271106444,0.9692339345999998,USD,44.65216722557096,1.93077,Finance,Buy,Sell,Real estate development
XNYIF,Xinyi Solar Holdings Limited,0.3707,USD,-12.837996708205981,100,0.03633588895752335,3365380431.263509,USD,5.41908129716872,0.068406429,USD,44.4965273080058,7.76398,Electronic technology,Buy,Strong sell,Semiconductors
BDGSF,Bank of Ga Group Plc,60.56,USD,0.016515276630892015,166,0.12764321414840446,2686632316.1031423,USD,3.0008986978044097,20.180621239999997,USD,44.464868596388236,5.02887,Finance,Strong buy,Buy,Major banks
CB,Chubb Limited,266.65,USD,-0.7850870665277623,2381977,1.8944855225152075,107486077091,USD,10.919060137752552,24.4206,USD,44.286296683623725,1.34633,Finance,Buy,Sell,Property/Casualty insurance
WES,"Western Midstream Partners, LP",40.09,USD,1.570813275905763,808790,0.9727769432656435,15256468066,USD,10.255819902788438,3.909,USD,44.20097388224878,7.98204,Industrial services,Neutral,Strong buy,Oil & gas pipelines
SOIEF,Stolt-Nielsen Ltd,25.395,USD,0.8138150059547371,2324,2.0427177639096423,1359576610.6897626,USD,3.3530748034159616,7.5736455309999995,USD,43.26932506698278,10.2765,Transportation,Strong buy,Sell,Marine shipping
JCDXF,JC Decaux SA,15.17,USD,-3.3757961783439447,200,0.10946907498631636,3247802244.3127465,USD,11.408688204753851,1.3296883680000002,USD,42.83186407074117,0,Commercial services,Neutral,Sell,Advertising/Marketing services
AIZ,"Assurant, Inc.",205.42,USD,-0.7632850241545954,306369,1.141633946328087,10535452767.000002,USD,14.650985314780078,14.0209,USD,42.78774670550135,1.44095,Finance,Buy,Sell,Property/Casualty insurance
ORANY,Orange,9.83,USD,-0.40526849037486473,239163,0.4810010391792917,26351760207.9837,USD,10.93193950177936,0.8992,USD,42.68486194858775,6.08227,Communications,Buy,Strong sell,Wireless telecommunications
FRBA,First Bank,13.43,USD,-0.29695619896066017,38202,0.9224550507806651,337555043,USD,8.441231929604022,1.591,USD,42.677786745583354,1.78704,Finance,Strong buy,Strong sell,Regional banks
IBDSF,Iberdrola S.A.,14.075,USD,-0.5159739892564348,85822,1.627278174275118,87856695625.57727,USD,11.773628627248677,1.1954683170000002,USD,42.61096509717958,3.27315,Utilities,Buy,Buy,Electric utilities
HY,"Hyster-Yale, Inc.",50.22,USD,0.0996611520829124,100280,1.327921712473433,879306037,USD,5.632949727437916,8.9154,USD,42.473152646382,2.73795,Producer manufacturing,Buy,Sell,Industrial machinery
TCLCF,Transcontinental Inc.,13.08,USD,6.379517876313476,100,0.5847953216374269,1082303877.5539725,USD,12.8833424764353,1.0152644800000001,USD,42.244285536247475,4.93151,Consumer services,Strong buy,Strong buy,Publishing: newspapers
TCLAF,Transcontinental Inc.,12.76,USD,0.20417779173865086,100,0.15363343063450607,1077071843.9306874,USD,12.568153669672357,1.0152644800000001,USD,42.244285536247475,5.03074,Consumer services,Strong buy,Buy,Publishing: newspapers
SYF,Synchrony Financial,65.79,USD,-1.186542505256822,2729306,1.40065616643,25614965824,USD,8.586306804834122,7.6622,USD,41.69841328549766,1.51999,Finance,Buy,Sell,Finance/Rental/Leasing
WDH,Waterdrop Inc.,1.17,USD,-1.6806722689075646,69657,0.11503284423277665,433089759,USD,9.80720871751886,0.1193,USD,41.183431952662716,0,Finance,Strong buy,Neutral,Insurance brokers/Services
WZZAF,Wizz Air Holdings PLC,17.7,USD,-6.793048973143756,2087,1.935633463179373,1830037451.1203008,USD,6.896943424302952,2.56635424,USD,41.109680604056514,0,Transportation,Neutral,Sell,Airlines
LSDAF,Lassonde Industries Inc.,126.86,USD,1.8219760815474724,3,0.03654080389768575,865390738.0528232,USD,10.841457557652832,11.70137865,USD,40.89601903949943,2.05139,Consumer non-durables,Buy,Strong buy,Beverages: non-alcoholic
BRK.B,Berkshire Hathaway Inc. New,451.84,USD,-0.2384527068798112,3933259,1.2515849820201117,974444270036,USD,9.12671641007203,49.5074,USD,40.804828172683386,0,Finance,Buy,Sell,Property/Casualty insurance
BRK.A,Berkshire Hathaway Inc.,677925,USD,-0.09358052346144778,1123,0.7973587049133768,974444270035.9999,USD,9.128935276048864,74261.1246,USD,40.80482489151637,0,Finance,Buy,Sell,Property/Casualty insurance
SGLFF,Sgl Group,4.19,USD,3.7128712871287215,1000,0.4880429477794046,512284769.99247175,USD,6.71762568800311,0.6237322820000001,USD,40.72180439775949,0,Process industries,Strong buy,Sell,Industrial specialties
IBEX,IBEX Limited,21.5,USD,0,105979,0.8796390441242993,360443385.99999994,USD,11.376865276748862,1.8898,USD,40.65197975587973,0,Commercial services,Neutral,Buy,Advertising/Marketing services
CM,Canadian Imperial Bank of Commerce,63.05,USD,0.8799999999999953,2480535,2.806137599824066,59094684577.73262,USD,12.079831419582128,5.2194437,USD,40.64645348064936,4.04141,Finance,Buy,Sell,Regional banks
QFIN,"Qifu Technology, Inc",37.51,USD,1.8463209340211777,791657,1.0874304780036457,5941535301.063731,USD,7.659322483817613,4.8973,USD,40.60983663039423,3.09251,Finance,Strong buy,Neutral,Finance/Rental/Leasing
RCI,"Rogers Communication, Inc.",30.53,USD,-1.6747181964573254,1220396,1.4467450500624743,16594740286.592577,USD,14.65145933489981,2.083751475,USD,39.69598548179114,4.55477,Communications,Buy,Sell,Wireless telecommunications
BGAOF,Proximus Group,4.95,USD,-4.162633107454015,103,0.1514260511614231,1597315500,USD,3.097256260564483,1.598188714,USD,39.66519433268335,16.6667,Communications,Neutral,Strong sell,Major telecommunications
RKWBF,ROCKWOOL A S,344.69,USD,-3.986072423398329,1,0.06060606060606061,7387168603.31808,USD,12.928058977613352,26.662161782900004,USD,39.35178152457194,1.72969,Non-energy minerals,Buy,Neutral,Construction materials
RKWAF,ROCKWOOL A S,347,USD,-8.343586349058267,3,,7484847792.3583,USD,13.01469861391927,26.662161782900004,USD,39.35178152457194,1.74089,Non-energy minerals,Buy,,Construction materials
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",10.163,USD,4.049142564627593,2966,0.08231960322284299,58426404709.83802,USD,5.510634237921122,1.8442523240000002,USD,39.19341325205634,5.56251,Finance,Buy,Neutral,Major banks
EHMEF,GOEASY LTD,120,USD,1.0526315789473684,8571,10.90319297799262,1999137253.8488252,USD,9.910134147899122,12.108816915,USD,38.9073316744625,2.70865,Finance,Buy,Buy,Finance/Rental/Leasing
CALM,"Cal-Maine Foods, Inc.",104.73,USD,1.0127314814814787,1826121,3.6180937079654805,5106726356,USD,8.14683437959441,12.8553,USD,38.884627434880784,2.77189,Process industries,Buy,Buy,Agricultural commodities/Milling
VLVOF,VOLVO CAR AB,2.25,USD,6.6350710900474,2001,0.4556529659569623,6703929162.846274,USD,4.2746571724947655,0.5263580000000001,USD,38.70390046252381,0,Consumer durables,Neutral,Neutral,Motor vehicles
IAFNF,IA FINL CORP INC.,91.945,USD,-0.5031922952061502,305,0.02255766997759025,8592783537.192217,USD,12.575911042979842,7.311199934999999,USD,38.55156528126287,2.569,Finance,Buy,Buy,Investment managers
MATX,"Matson, Inc.",139.21,USD,0.5561976307425673,135573,0.8072555526246686,4623182782,USD,11.579989352498837,12.0216,USD,38.285806310607,0.948208,Transportation,Neutral,Neutral,Marine shipping
LCXEF,LYCOS ENERGY INC.,1.88,USD,-1.0526315789473695,300,0.1732902033271719,100087437.02766798,USD,10.220193803686767,0.183949545,USD,38.06491356191846,0,Miscellaneous,Strong buy,Neutral,Miscellaneous
